conversion_id,user_id,conversion_date,conversion_channel,previous_experiment_group,trial_started
b62dca6e-33dd-49b8-8f6b-5db0585ba32f,0b20e2c1-1be4-4beb-a27e-907e85d5b308,2025-06-15 22:26:24,in-app,control,1
ac78a6d5-9764-4567-b5fa-06b46e74186c,e6e73803-01bf-4e13-a584-242d6f2fe2ef,2025-07-29 15:36:18,email,treatment,0
bf9b3980-3a1b-4184-8111-8ae5d5ca2970,596e49f3-fb42-45eb-9fb0-71b595171289,2025-06-26 17:45:27,email,treatment,0
b25d2a34-0b31-488a-9a14-db1f58f68507,975010f8-73f7-444c-a0cb-7640448d67b3,2025-06-20 04:48:54,in-app,control,0
e21f8a44-73fa-46d0-aae4-5ecdc7cc5a26,027e92de-4530-4207-9ac2-48af31e0a0ed,2025-06-21 18:15:16,in-app,treatment,0
a73b5451-b7c1-40ed-996a-7cb6a0b7f50b,28bec6bf-fdc5-414f-881e-c0db96cf5367,2025-07-19 11:05:51,in-app,control,1
96cfdea8-4e5b-4c75-a852-628cff4d95c4,4ee7b6ee-6f9d-4e7f-946b-6bf92202d12b,2025-07-23 20:11:27,in-app,treatment,0
ea501cc3-b93b-4cee-97de-b79ee7346bcf,770a2128-48e2-4056-8c2b-2c15ce670671,2025-09-06 10:57:16,web,control,0
e479bf37-3a23-45f4-a65a-a3ac743406cd,e7e5c652-a781-4014-8851-38c69553960c,2025-07-14 17:44:23,in-app,control,0
e081b3f8-c0d9-4d22-9511-0a8db1371fe4,6d6a1050-7418-4c25-82be-ac44c02567e3,2025-07-16 14:37:57,in-app,control,0
29d30ae4-402b-4ee3-ac5c-22839c61cf34,8ce79ca7-f39b-4490-a2be-7f23b6d813c6,2025-09-25 16:36:34,email,treatment,0
8e30ed0c-e0f6-4403-aa90-5f2713d4669c,53fc1a4d-cbaf-4d88-b73b-4a41efa368d2,2025-07-24 19:12:57,email,control,0
6c5d6da0-e5f8-467b-b151-4d12556d1c5e,a1a307a2-b168-47a2-ba45-347e8eb9e5bd,2025-08-14 09:03:08,email,treatment,1
c494cf71-c118-4aa9-a8bd-305595fef6e8,cd1e3a3a-c4c0-4126-b763-667f401fc192,2025-06-19 21:58:45,in-app,control,1
47724e0f-66b6-4c92-8f73-50a17b0a6e31,f61bbeb7-8b7d-4065-b6ec-7eb1d15a8897,2025-09-28 03:38:46,in-app,treatment,0
